,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
121,121,2083,Oprah gives money to Muzzie Bros.  gave us Ovomit.  personal connection to #GTMO resident Soros.,0.0,1.0,0.8,0.2,"The post contains derogatory language ('Muzzie Bros.' and 'Ovomit') that is likely to be interpreted as demeaning and degrading towards Muslims and former President Obama. The use of 'Muzzie' is a slur against Muslims, and 'Ovomit' is a derogatory term for Obama, which suggests an assault on human dignity. Additionally, the mention of 'personal connection to #GTMO resident Soros' could imply a conspiracy theory, which might not directly relate to hate speech but adds to the negative tone. The language used is offensive and likely to be considered hate speech by a significant portion of annotators, leading to low disagreement.","The post uses derogatory terms such as 'Muzzie Bros.' and 'Ovomit,' which are offensive and likely to be considered hate speech by many annotators. The term 'Muzzie' is a slur against Muslims, and 'Ovomit' is a derogatory term for Obama, suggesting an assault on human dignity. The mention of 'personal connection to #GTMO resident Soros' could imply a conspiracy theory, which might not directly relate to hate speech but adds to the negative tone. Given the offensive language and potential for demeaning individuals based on religion and political affiliation, the post is likely to be classified as hate speech by a significant portion of annotators, leading to low disagreement.",0.8
123,123,2111,"openly calling for violence and murder, I suggest you learn how to spell gun before you get one. ",0.0,1.0,0.8,0.2,"The post contains a suggestion that implies violence by mentioning 'gun' in a context that can be interpreted as threatening or encouraging violence. This aligns with the 'Calls for Violence' aspect of hate speech. The language used is direct and lacks ambiguity, which suggests that there would be low disagreement among annotators about its classification as hate speech.","The post is likely to be classified as hate speech by a majority of annotators due to its direct reference to violence and the context of 'learning to spell gun before getting one,' which implies a threat or encouragement of violence. This makes it a clear case of hate speech under the 'Calls for Violence' category, leading to low disagreement among annotators.",0.8
198,198,3003,If Donald #Trump doesn't remove the #Federal Reserve and #Wall Street from America then it's time to use the Second #Amendment on his #shabbos #goy administration and all the other shabbos in the democrats.  It's time to remove all this filth tied to the Talmudic devils.  The American Republic must be reborn and enter into the One Belt One Road project. #Brics,0.0,1.0,0.8,0.2,"The post contains multiple elements that are likely to be interpreted as hate speech. It includes a call for violence ('use the Second Amendment'), which is a direct incitement to harm. Additionally, it uses derogatory language ('shabbos goy', 'filth', 'Talmudic devils') that targets specific religious and ethnic groups, which can be seen as an assault on human dignity. The language is explicit and offensive, suggesting a high likelihood of consensus among annotators that this constitutes hate speech. However, the political context and the use of coded language might lead to some disagreement, but overall, the post is likely to be classified as hate speech by a majority of annotators.","The post explicitly calls for violence by suggesting the use of the Second Amendment, which is commonly interpreted as a reference to gun rights and potential armed action. This is a clear incitement to violence. Additionally, the use of terms like 'shabbos goy' and 'Talmudic devils' is derogatory and targets Jewish individuals, which constitutes an assault on human dignity. The language is vulgar and offensive, further supporting the classification as hate speech. Given these elements, there is likely to be a strong consensus among annotators that this post is hate speech, although some may interpret the political context differently, leading to a small percentage classifying it as not hate speech.",0.8
474,474,6198,Trump did fund planned parenthood.  Trump is just another puppet of our Jewish masters.,0.0,1.0,0.8,0.2,"The post contains a clear assault on human dignity by using an anti-Semitic trope, referring to 'Jewish masters,' which is a common stereotype used to demean and degrade Jewish people. This aspect of the post is likely to be recognized as hate speech by a significant portion of annotators. There is no call for violence, but the use of offensive language and stereotypes contributes to its classification as hate speech. The post is not ambiguous in its derogatory reference, suggesting low disagreement among annotators.","The post makes an anti-Semitic statement by referring to 'Jewish masters,' which is a stereotype that degrades Jewish people. This is a clear assault on human dignity. While there is no explicit call for violence, the use of such offensive language and stereotypes is likely to be recognized as hate speech by many annotators. The post is not ambiguous in its derogatory reference, suggesting low disagreement among annotators. Therefore, a higher percentage of annotators are likely to classify this as hate speech.",0.8
546,546,7092,"It's no wonder, though, really. You're bound to feel inferior and want blackwashing when your history can be summed up as:  200,000 BC: oogabooga me make fire ",0.0,1.0,0.8,0.2,"The post contains language that demeans and degrades individuals based on race, specifically targeting black people with a derogatory stereotype. The use of 'oogabooga' is a racial slur that mocks and belittles. This falls under the category of 'Assaults on Human Dignity.' The post is likely to be seen as hate speech by a significant portion of annotators due to its clear racial derogation, leading to low disagreement among annotators.","The post uses racially derogatory language, specifically targeting black people with a stereotype that is both demeaning and degrading. The phrase 'oogabooga me make fire' is a racial slur that mocks and belittles, which falls under the category of 'Assaults on Human Dignity.' This type of language is likely to be classified as hate speech by a significant portion of annotators due to its clear racial derogation. Therefore, the disagreement among annotators is expected to be low, with a higher percentage classifying it as hate speech.",0.8
627,627,8237,"""It's their life bro, so what if they want to fuck kids. It doesn't affect me."" Am I doing it right? ",0.0,1.0,0.8,0.2,"The post appears to trivialize or condone pedophilia, which is a serious criminal act and a significant social issue. This can be seen as an assault on human dignity, as it dismisses the harm and exploitation of children. The language used is not overtly vulgar, but the content is highly offensive and likely to be interpreted as hate speech by a majority of annotators. However, some may argue it is a poorly worded attempt at sarcasm or dark humor, leading to some disagreement.","The post trivializes a serious issue, potentially condoning harmful behavior towards children. This is likely to be seen as an assault on human dignity, as it dismisses the harm and exploitation of children. The language is not overtly vulgar, but the content is highly offensive. While some may interpret it as a poorly worded attempt at sarcasm or dark humor, the majority of annotators are likely to classify it as hate speech due to the serious nature of the topic.",0.8
779,779,9897,"Liberals think a 20-year-old adult is too irresponsible to own a gun, but a 5-year-old is enlightened enough to pick their own gender. Makes total sense.",1.0,0.0,0.2,0.8,"The post uses sarcasm to criticize liberal views on gun ownership and gender identity. It does not contain direct assaults on human dignity, calls for violence, or vulgar language. The post is likely to be interpreted as a political opinion rather than hate speech, leading to low disagreement among annotators.","The post uses sarcasm to criticize liberal views on gun ownership and gender identity. It does not contain direct assaults on human dignity, calls for violence, or vulgar language. The post is likely to be interpreted as a political opinion rather than hate speech, leading to low disagreement among annotators. Therefore, the predicted percentages of annotators who classify the post as hate speech vs. not hate speech are [0.2, 0.8].",0.8
998,998,12187,"With Hanoi John McCain now assuming room temperature, I'm faced with a problem. Since he always made such a big deal about being an Arizonan I had hoped to be able to travel to his grave here in Arizona and pee on it. That has been on my bucket list since the 70's. Now I hear he wants buried back east... So how does one go about begging on one of the fund raising sites to get air-fare to Marylan...",0.0,1.0,0.8,0.2,"The post contains offensive and disrespectful language towards a deceased individual, which can be seen as an assault on human dignity. The desire to urinate on someone's grave is a vulgar expression of contempt and could be interpreted as hate speech by many annotators. However, it does not explicitly target a protected group or call for violence, which might lead to some disagreement among annotators. Overall, the post is likely to be seen as hate speech by a majority due to its offensive nature and the disrespect shown towards the deceased.","The post expresses a desire to desecrate the grave of a deceased individual, John McCain, using vulgar language. This can be seen as an assault on human dignity, as it shows a lack of respect for the deceased and uses offensive language. While it does not target a specific protected group or call for violence, the disrespectful and vulgar nature of the post is likely to lead to a high percentage of annotators classifying it as hate speech. However, some may argue it is not hate speech as it does not target a group or incite violence, leading to some disagreement.",0.8
1035,1035,12534,https://twitter.com/MarkACollett/status/1012235315824812033  ,0.0,1.0,0.8,0.2,"The post likely contains content that assaults human dignity by targeting specific groups based on race or ethnicity, as Mark Collett is known for his far-right views. This could lead to a high percentage of annotators classifying it as hate speech. However, without the exact content of the tweet, there is some uncertainty, but given the source, it is likely to be perceived as hate speech by a majority.","The post is from Mark Collett, a known far-right figure, which suggests that the content may include elements that degrade or demean individuals or groups based on race or ethnicity. This aligns with the 'Assaults on Human Dignity' aspect of hate speech. Given the source, annotators are likely to agree that the post constitutes hate speech, leading to low disagreement. However, without the exact content, there is some room for interpretation, but the prediction leans towards a higher percentage of annotators classifying it as hate speech.",0.8
1096,1096,13552,notice they didn't leave. my guess is they are jews and israeli bots.,0.0,1.0,0.8,0.2,"The post makes a derogatory assumption about a group of people based on their perceived ethnicity or nationality, specifically targeting Jews and Israelis. This falls under the category of 'Assaults on Human Dignity' as it demeans individuals based on their identity. The language used is likely to be interpreted as hate speech by a significant portion of annotators, leading to a high percentage classifying it as such. However, there may be some disagreement due to the lack of explicit calls for violence or vulgar language, resulting in a minority not classifying it as hate speech.","The post contains a derogatory assumption about Jews and Israeli bots, which can be seen as an assault on human dignity. It targets a specific group based on ethnicity or nationality, which is a common characteristic of hate speech. While there is no explicit call for violence or use of vulgar language, the demeaning nature of the statement is likely to lead to a high percentage of annotators classifying it as hate speech. However, some may not see it as hate speech due to the absence of more overtly aggressive language, leading to some disagreement.",0.8
