,Unnamed: 0,ID,Text,Hate_pos,Hate_neg,Hate_pos_LLM,Hate_neg_LLM,Reasoning_LLM,Raw_output_LLM,Hate_pos_diff
1,1,24,"Does anyone know when the Unite The Right Rally 2 begins in Washington, DC? #UTR2 #UTR",0.0,1.0,0.4,0.6,"The post inquires about the timing of the 'Unite The Right Rally 2' in Washington, DC. The original Unite The Right Rally was associated with white supremacist groups and resulted in violence, which may lead some annotators to view this post as potentially supporting or promoting hate speech. However, the post itself does not contain explicit hate speech, calls for violence, or offensive language. The ambiguity lies in the context and the associations with the rally, leading to a moderate level of disagreement among annotators.","The post asks about the timing of a rally known for its association with hate groups, which could be interpreted as support or interest in such events. However, it does not explicitly contain hate speech or calls for violence, leading to potential disagreement among annotators.",0.4
5,5,39,"The lesson the left learned from 2016 is that: No matter what, something like Trump is never allowed to happen again. Gavin and Alex Jones are gone, and it is only the beginning. They'll make sure every influential conservative is gone by 2020.",0.0,1.0,0.4,0.6,"The post discusses the removal of conservative figures and implies a political strategy to prevent similar events to Trump's election. It does not explicitly demean or degrade individuals based on protected characteristics, nor does it call for violence. However, it could be interpreted as suggesting a conspiracy or suppression of conservative voices, which might be seen as offensive or concerning to some. The language is not overtly vulgar or offensive, but the context of political suppression could lead to some disagreement among annotators about whether it constitutes hate speech.","The post discusses political strategies and the removal of conservative figures, which may be interpreted as a form of suppression or conspiracy against conservatives. While it does not contain explicit hate speech elements like demeaning language or calls for violence, the implication of targeting a political group could be seen as offensive or concerning. This could lead to some annotators viewing it as hate speech, while others may not, resulting in moderate disagreement.",0.4
17,17,212,There have been Kkazarian graveyards excavated and we know that the Khazars had Asiatic features.,0.0,1.0,0.4,0.6,"The post references 'Khazarian graveyards' and 'Asiatic features,' which could be interpreted as an attempt to demean or stereotype a group based on ethnicity. However, the post does not explicitly contain vulgarity, offensive language, or calls for violence. The historical reference to Khazars might be seen as a factual statement by some, while others might view it as a veiled ethnic stereotype or conspiracy theory, leading to potential disagreement among annotators.","The post mentions Khazarian graveyards and Asiatic features, which could be interpreted as an ethnic stereotype or a factual historical reference. The lack of explicit offensive language or calls for violence suggests that it may not be clear-cut hate speech, but the potential for ethnic stereotyping could lead to some annotators classifying it as such. This results in a moderate level of disagreement, with an estimated 40% of annotators viewing it as hate speech and 60% not.",0.4
19,19,236,‪Former Polish PM: ‘Of Course Poles Took Part in Holocaust’ https://www.algemeiner.com/2018/02/07/former-polish-pm-of-course-poles-took-part-in-holocaust//‬,0.0,1.0,0.4,0.6,"The post references a sensitive historical topic, the Holocaust, and attributes participation to a specific national group, which can be seen as an assault on human dignity. However, it is a statement made by a former Polish PM, which may be interpreted as a factual or historical claim rather than hate speech. The post does not contain vulgarity or calls for violence. The context and the source of the statement may lead to varying interpretations, resulting in moderate disagreement among annotators.","The post discusses a statement made by a former Polish Prime Minister about Polish involvement in the Holocaust. This topic is highly sensitive and can be interpreted in different ways. Some may view it as an assault on human dignity by attributing blame to a national group, while others may see it as a historical acknowledgment. The lack of vulgarity or explicit calls for violence suggests that it may not be clear-cut hate speech, leading to moderate disagreement among annotators.",0.4
23,23,341,Some granddaughter of a Rockerfeller Republican is trying to get people shot and banned on twitter. Weird shit. #gabfam #maga https://twitter.com/JackGOPFam/status/103342287778... @a @Amy @Microchip,0.0,1.0,0.4,0.6,"The post mentions someone trying to get people 'shot and banned,' which could be interpreted as a call for violence or an incitement to harm, although it is not explicit. The language is somewhat ambiguous and could be seen as metaphorical or hyperbolic, leading to potential disagreement among annotators. The use of 'Rockerfeller Republican' and hashtags like #maga may also influence interpretations based on political biases. Overall, the post's content is not overtly hateful but contains elements that could be interpreted as such, leading to moderate disagreement.","The post contains a reference to someone trying to get people 'shot and banned,' which could be interpreted as a call for violence or an incitement to harm, although it is not explicit. The language is somewhat ambiguous and could be seen as metaphorical or hyperbolic, leading to potential disagreement among annotators. The use of 'Rockerfeller Republican' and hashtags like #maga may also influence interpretations based on political biases. Overall, the post's content is not overtly hateful but contains elements that could be interpreted as such, leading to moderate disagreement.",0.4
25,25,344,I guess Charlie Warzel of Buzzfeed is ok with deep fakes (false impersonations) of Donald Trump. Be a shame if someone deep faked him. @Microchip @a @Amy  #maga #gabfab  https://twitter.com/cwarzel/status/103263909332109...,0.0,1.0,0.4,0.6,"The post suggests the use of 'deep fakes' against a specific individual, which could be interpreted as a veiled threat or encouragement of harmful behavior. This could be seen as an assault on human dignity, as it involves the potential for reputational harm through false impersonation. However, it does not explicitly call for violence or use vulgar language. The ambiguity of the intent behind 'be a shame if someone deep faked him' could lead to disagreement among annotators, as some may see it as a joke or sarcasm, while others may view it as a serious suggestion.","The post mentions the use of 'deep fakes' against a specific individual, which could be interpreted as a veiled threat or encouragement of harmful behavior. This could be seen as an assault on human dignity, as it involves the potential for reputational harm through false impersonation. However, it does not explicitly call for violence or use vulgar language. The ambiguity of the intent behind 'be a shame if someone deep faked him' could lead to disagreement among annotators, as some may see it as a joke or sarcasm, while others may view it as a serious suggestion. Therefore, there is likely to be moderate disagreement among annotators, with some classifying it as hate speech and others not.",0.4
27,27,357,"Yes, people send their kids to college for huge sums of money to get brainwashed by freaks like him. ",0.0,1.0,0.4,0.6,"The post contains language that could be interpreted as demeaning or degrading towards individuals involved in higher education, possibly implying that educators are 'freaks' who 'brainwash' students. This could be seen as an assault on human dignity, particularly if it targets a specific group of educators or students. However, the post does not explicitly call for violence or use vulgar language. The interpretation of 'freaks' and 'brainwashed' can vary, leading to some disagreement among annotators about whether it constitutes hate speech.","The post uses derogatory language ('freaks') to describe educators and implies that they 'brainwash' students, which could be seen as an assault on human dignity. However, it does not explicitly call for violence or use vulgar language. The interpretation of terms like 'freaks' and 'brainwashed' can vary, leading to some disagreement among annotators about whether it constitutes hate speech. Therefore, I predict a moderate level of disagreement with percentages of [0.4, 0.6].",0.4
29,29,392,The End Is Near for SPLC Hate Racket - http://americanfreepress.net/the-end-is-near-for-splc-hate-racket/,0.0,1.0,0.4,0.6,"The post refers to the Southern Poverty Law Center (SPLC) as a 'hate racket,' which could be interpreted as an assault on the organization's dignity and credibility. However, it does not explicitly demean or degrade individuals or groups based on protected characteristics, nor does it contain calls for violence or vulgar language. The term 'hate racket' is subjective and could lead to varying interpretations about whether it constitutes hate speech, resulting in moderate disagreement among annotators.","The post refers to the SPLC as a 'hate racket,' which could be seen as an attack on the organization's credibility. However, it does not explicitly target individuals or groups based on protected characteristics, nor does it incite violence or use vulgar language. The term 'hate racket' is subjective and may lead to differing interpretations about whether it constitutes hate speech, resulting in moderate disagreement among annotators.",0.4
48,48,848,Globalist. RINO. Traitor. #DescribeJohnMcCainIn3Words http://magaimg.net/img/60mh.jpg,0.0,1.0,0.4,0.6,"The post uses the hashtag #DescribeJohnMcCainIn3Words and includes terms like 'Globalist,' 'RINO' (Republican In Name Only), and 'Traitor.' These terms are often used in political discourse to criticize or demean individuals, particularly within certain political circles. While the language is derogatory, it does not explicitly call for violence or use vulgar language. The interpretation of whether this constitutes hate speech may vary, leading to some disagreement among annotators. The post is likely to be seen as offensive by some due to the negative connotations of the words used, but it may not be universally classified as hate speech.","The post uses politically charged language to describe John McCain, labeling him as a 'Globalist,' 'RINO,' and 'Traitor.' These terms are often used pejoratively in political contexts, particularly by those who disagree with McCain's political stance or actions. The use of such labels can be seen as an assault on McCain's dignity, as they are intended to demean or discredit him. However, the post does not contain explicit calls for violence or use vulgar language. The interpretation of this post as hate speech may vary among annotators, as some may view it as a strong political opinion rather than hate speech. Therefore, there is likely to be moderate disagreement among annotators, with some classifying it as hate speech due to the derogatory nature of the terms, while others may not see it as crossing the threshold into hate speech.",0.4
78,78,1318,McSalley Arizona has done it again other commie running for Senate. Damn,0.0,1.0,0.4,0.6,"The post uses derogatory language by referring to a political candidate as a 'commie,' which could be seen as an assault on human dignity by using a pejorative term. However, it does not explicitly call for violence or use vulgar language. The term 'commie' is often used in political discourse and may not be universally considered hate speech, leading to potential disagreement among annotators.","The post refers to a political candidate as a 'commie,' which is a derogatory term often used to demean individuals with leftist or socialist political views. This could be interpreted as an assault on human dignity, but it does not contain explicit calls for violence or vulgar language. The use of 'commie' might be seen as offensive by some, but it is also a term used in political rhetoric, which might not be universally classified as hate speech. This could lead to some disagreement among annotators, with a moderate percentage classifying it as hate speech due to the derogatory nature of the term, while others may not see it as crossing the threshold for hate speech.",0.4
