,Text,Hate,Hate_LLM,Reasoning_LLM,Raw_output_LLM,Hate_diff
0,Call me all the names you want but trump still has no facts.  You should be embarrassed for repeating this idiocy.,1,0,"The post criticizes Trump and those who support him by calling their actions idiocy. However, it does not contain any assaults on human dignity, calls for violence, or use of vulgar or offensive language. The criticism is directed at political views rather than any protected characteristic, and the language used is not profane or slur-based. Therefore, Andy would likely not label this as hate speech.","The post criticizes Trump and his supporters but does not contain hate speech elements such as assaults on human dignity, calls for violence, or vulgar language. Andy would likely label it as not hate speech.",1
1,"Absolutely, though hopefully not THAT elder.   ",0,0,"The post 'Absolutely, though hopefully not THAT elder.' does not contain any explicit or implicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It is vague and lacks context, making it difficult to interpret as hate speech. Without additional context, it does not appear to target any individual or group based on protected characteristics, nor does it incite violence or use offensive language. Therefore, Andy would likely not label this as hate speech.","The post is vague and lacks context, making it difficult to interpret as hate speech. It does not contain any explicit or implicit assaults on human dignity, calls for violence, or vulgarity and offensive language. Without additional context, it does not appear to target any individual or group based on protected characteristics, nor does it incite violence or use offensive language. Therefore, Andy would likely not label this as hate speech.",0
2,Question: How many people would have to die before you support gun control? ,1,0,"The post poses a question about gun control, which is a politically charged topic, but it does not contain any language that assaults human dignity, calls for violence, or uses vulgar or offensive language. It is a straightforward question that does not appear to incite hate speech.","The post is a question about gun control and does not exhibit any aspects of hate speech as defined by the criteria. It does not demean or degrade any group, incite violence, or use offensive language. Therefore, Andy would likely label it as not hate speech.",1
3,Those who talk about taking action won't do it themselves. I won't. ,0,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It seems to be a statement about inaction rather than a call to action or a derogatory comment about any group or individual. Therefore, Andy would likely not label this as hate speech.",The post is a statement about inaction and does not contain elements of hate speech as defined by the aspects provided.,0
4,White women have the civilized manners to murder their own babies before they leave the womb and without gender preferences!,1,1,"The post contains offensive language and demeaning content towards white women, suggesting that they murder their babies. This can be seen as an assault on human dignity, as it degrades a group based on race and gender. The post does not explicitly call for violence, but the language used is provocative and offensive, which may lead to low disagreement among annotators about its classification as hate speech.","The post is likely to be labeled as hate speech by Andy due to its demeaning and offensive nature towards a specific racial and gender group, despite not directly inciting violence.",0
5,"Scared shitless of constituents that might actually become independent, informed, & self-reliant.",1,0,"The post uses vulgar language ('shitless'), which could be considered offensive, but it does not target any specific individual or group based on protected characteristics. It does not call for violence or demean any group based on race, ethnicity, gender, religion, or other protected characteristics. The focus of the post seems to be on political constituents and their potential independence, which is a political opinion rather than hate speech. Given Andy's labeling style, this post would likely not be considered hate speech.","The post uses vulgar language ('shitless'), which could be considered offensive, but it does not target any specific individual or group based on protected characteristics. It does not call for violence or demean any group based on race, ethnicity, gender, religion, or other protected characteristics. The focus of the post seems to be on political constituents and their potential independence, which is a political opinion rather than hate speech. Given Andy's labeling style, this post would likely not be considered hate speech.",1
6,haha Caption this..... Just act natural.  They won't notice we're a mixed race couple.,0,0,"The post makes a reference to being a 'mixed race couple' and suggests that they need to 'act natural' so that 'they won't notice.' This could be interpreted as a commentary on societal perceptions of mixed-race couples. However, it does not explicitly demean or degrade individuals or groups based on race, nor does it call for violence or use vulgar or offensive language. The post seems to be more of a humorous or sarcastic remark rather than hate speech. Andy would likely not label this as hate speech.","The post does not contain elements that would typically be classified as hate speech, such as demeaning language, calls for violence, or vulgarity. It appears to be a humorous or sarcastic comment about societal perceptions of mixed-race couples. Therefore, Andy would likely label it as not hate speech.",0
7,Foreign? WTF!!! He's Mooslime dumbasses!,0,1,"The post uses the term 'Mooslime,' which is a derogatory and offensive term for Muslims, indicating an assault on human dignity based on religion. The use of 'WTF' and 'dumbasses' adds vulgarity and offensive language to the post. Given these elements, Andy would likely label this as hate speech due to the demeaning language towards a religious group and the use of offensive language.","The post contains derogatory language towards Muslims, which is an assault on human dignity based on religion. It also includes vulgar and offensive language. Therefore, Andy would likely label this post as hate speech.",1
8,May thet rot in the lowest pit of Hell!,1,0,"The post expresses a wish for someone to suffer in hell, which can be interpreted as a call for harm or ill-will. However, it does not specify any particular group or individual based on protected characteristics, nor does it use vulgar or offensive language. The post's intent seems to be more about expressing anger or frustration rather than constituting hate speech. Given the lack of specific targeting or offensive language, Andy would likely not label this as hate speech.","The post expresses a wish for someone to suffer in hell, which can be interpreted as a call for harm or ill-will. However, it does not specify any particular group or individual based on protected characteristics, nor does it use vulgar or offensive language. The post's intent seems to be more about expressing anger or frustration rather than constituting hate speech. Given the lack of specific targeting or offensive language, Andy would likely not label this as hate speech.",1
9,I hope this turd doesn’t get a seconds moment of peace ,1,0,"The post uses the term 'turd' which is a vulgar and offensive term, potentially directed at an individual. However, it does not explicitly demean or degrade based on protected characteristics, nor does it call for violence. The offensive language aspect is present, but it is not clear if it constitutes hate speech as per Andy's labeling criteria.",The post uses offensive language ('turd') but does not clearly fall into the categories of assaults on human dignity or calls for violence. Andy might label this as not hate speech due to the lack of explicit targeting based on protected characteristics or incitement to violence.,1
10,"Jesus physically Whipped Jew loan sharks from the Temple, with a corded whip.  It was approximately 40 acres of Kosher usurers and snakes.  That’s when the hit on his life went out.   ",0,1,"The post references a historical event involving Jesus and uses it to describe Jewish people in a derogatory manner, referring to them as 'loan sharks' and 'Kosher usurers and snakes.' This language degrades a religious and ethnic group, which falls under the category of assaults on human dignity. The post also implies a violent act ('whipped') and uses offensive language ('snakes'), which could be interpreted as hate speech. Given these elements, Andy would likely label this as hate speech.","The post uses derogatory language to describe Jewish people, referring to them as 'loan sharks' and 'Kosher usurers and snakes.' This demeaning language targets a religious and ethnic group, which constitutes an assault on human dignity. Additionally, the reference to Jesus 'whipping' them implies violence, and the overall tone is offensive. Therefore, Andy would likely consider this post to be hate speech and label it as 1.",1
11,"Carillion business in the shit. Government won't bail them out, but they'll bail out the bestie banker wankers. More jobs going and more migrants coming in. Backwards politics ",1,0,"The post expresses frustration with government policies, particularly regarding financial bailouts and immigration. It uses vulgar language ('wankers') to describe bankers, which could be considered offensive. However, it does not explicitly demean or degrade any group based on protected characteristics, nor does it call for violence. The focus is more on criticizing government actions rather than targeting a specific group with hate speech. Given Andy's labeling style, this post would likely not be considered hate speech.",The post uses offensive language to criticize bankers and government policies but does not meet the criteria for hate speech as it lacks demeaning language towards protected groups or calls for violence.,1
12,Trump's tweet on Stormy reveals the network that tried to assassinate him. ,1,0,"The post does not contain any explicit assaults on human dignity, calls for violence, or vulgarity/offensive language. It discusses a political figure and a situation involving a tweet, but it does not degrade or demean any group based on protected characteristics, nor does it incite violence. The language used is not vulgar or offensive. Therefore, Andy would likely not label this as hate speech.","The post discusses a political situation involving a tweet by Trump and mentions an assassination attempt, but it does not contain elements of hate speech as defined by the aspects provided. It lacks demeaning language, calls for violence, or offensive language directed at any group. Thus, Andy would likely label it as not hate speech.",1
13,"@ComfortablySmug wrote: ""The difference between Russians and Democrats is that Russians rejected socialism.""",1,0,"The post compares Russians and Democrats, suggesting that Russians rejected socialism while Democrats did not. This statement does not directly demean or degrade individuals or groups based on protected characteristics, nor does it incite violence. It also lacks vulgarity or offensive language. The post seems to be a political commentary rather than hate speech.","The post does not exhibit any of the specific aspects of hate speech as outlined. It is a political statement that contrasts Russians and Democrats in terms of their stance on socialism. There is no use of offensive language, nor does it call for violence or degrade any group based on protected characteristics. Therefore, Andy would likely label this post as not constituting hate speech.",1
14,A Lesson for the GOP: Political Appeasement Doesn’t Work ,1,0,"The post titled 'A Lesson for the GOP: Political Appeasement Doesn’t Work' does not contain any explicit assaults on human dignity, calls for violence, or vulgarity and offensive language. It appears to be a political opinion or commentary, which does not inherently constitute hate speech. Andy would likely label this as not hate speech.","The post is a political commentary and does not exhibit any of the aspects of hate speech such as assaults on human dignity, calls for violence, or vulgarity. Therefore, Andy would label it as 0, indicating it is not hate speech.",1
